operator_name,operator_id,comments_summary,is_approved
sportsbetting,0903f399-6692-4433-8c3e-f2e9a439e36d,,False
gaming club casino,12bb66aa-23fe-4892-8326-e0182a265870,,False
dafabet,23efe7a0-98c1-4ec5-9b62-98756f789293,"{
    ""meta_summary"": ""Many players appreciate Dafabet for its excellent customer service and fast payout speeds, with some noting that withdrawals completed within just a few hours. On the downside, dissatisfaction with customer support and limited banking options stood out, with 37% mentioning issues in these areas.""
}",True
playojo casino,2606dbff-3277-486d-8f28-9bdd5f27e5e1,"{
    ""meta_summary"": ""Players appreciate PlayOJO Casino's wide game selection and no wagering requirements on bonuses, which many find refreshing. Quick verification processes create a positive experience, but frustrations arise from slow customer support and lengthy payout speeds, with 42% expressing dissatisfaction in these areas.""
}",False
xbet,27c03f26-ab10-442d-8c96-c2f9c6bfe8a6,,False
just casino,2d06454d-2ffd-4862-adba-53dd632af5d1,"{
    ""meta_summary"": ""Players expressed excitement about JUST CASINO's wide game selection and friendly customer support, creating a great experience overall. Some noted issues with payout speed, citing difficulties in withdrawing winnings and complex bonus terms, diminishing their satisfaction.""
}",True
woo casino,2edb2244-2d61-4506-841d-57b45cb33b5e,,False
amazon slots,35f98729-1f1d-42fb-9239-e14354b746f7,,False
playamo,3754a78f-2af5-4e1c-b458-cd9cfd7fbc12,,False
betnow,3a8ee03e-7e3b-4c37-9abb-822c4fd69ebc,,False
springbok casino,3adcc5eb-4e7d-4476-bde9-0a0b06859e1e,,False
lucky niki casino,3c61fbd8-9be4-4e59-bf8c-57da428662dc,,False
queen vegas,40514207-618c-4d7a-b592-a8902ba3e6ec,,False
fair go casino,491005f6-635d-48ad-bed4-b072827909fc,,False
blood moon casino,4f38c47b-1875-41cd-bb95-e18ddc5824dd,,False
vegas aces,569da9d6-61ad-49e6-b8d0-5858b13e4a74,,False
high roller,5738dcf6-54a2-4282-9c47-23e4336be1fe,,False
lupin casino,5d1acd67-7654-400c-8a73-d1d361662556,,False
casinia,5ee889a6-8655-4aa8-b826-5038022135d5,,False
sports interaction,610d4b68-72b9-4d15-96ab-f64156e803e6,,False
unibet,638a8b98-7d53-43db-8f62-7268ccf3d7a3,,False
free spin,690c8732-181b-4f5b-8dc9-fe286ac1e1f0,,False
blood moon casino,755d87a1-4bf6-4ce9-bdbe-7a372558c5e4,,False
miami dice casino,8d1b0fb7-0e42-4aab-b133-46acdfd91334,,False
cafe casino,9a3c6753-6fbd-433a-87f8-bc0d68761441,,False
betfair,9d3df47e-411c-4c4c-ab01-ff44b80e07fa,,False
vulkan vegas,9fc0fe13-a20b-4be3-a9e8-7d4ab7066346,"{
    ""meta_summary"": ""Players love Vulkan Vegas for its fantastic game variety, daily bonus offerings, and responsive customer support. Many appreciate the quick payout times and helpful staff. Some concerns linger about slow payout speeds and difficulties with account closure, but most players express high satisfaction overall.""
}",False
leovegas casino,a613a7d1-ee5e-4cf6-8581-193ea8fc8eee,,False
fly casino,b0788181-948f-41de-a34c-04bd5f6cccbc,,False
river belle,b478b951-63cf-4556-a080-2502a7f8e205,,False
nonstop casino,b670acbf-9d6a-4e80-a371-33b3c4cfa1fc,,False
casino tropez,b6854840-4314-45d7-99f9-0d55ab46a385,,False
gtbets,b8d3b9f2-552f-402c-a200-e5970006ce64,,False
royal panda,cece78bf-69a5-4005-85c1-0d87d0d74ca8,,False
lucky hippo casino,d1f5e49a-102c-4929-becf-1d491d9ac51b,,False
bovada,d3e791b3-e224-4ead-a0f4-e13cf30e1b08,,False
betamo,e026a558-44eb-4f8d-a0ad-d684fbaea57e,,False
royal ace,e23bd31e-1ed4-45d3-a6d9-baed2c6a61e2,,False
unikrn,e5a356b6-aee6-4806-b1f7-dd2a850d30d5,,False
malina casino,ed175579-241b-4ace-8aca-de347a18a683,,False
bodog,f11ca233-79a6-4177-8067-4f5fa8767f8f,,False
drake casino,fa0fc7e2-92bc-4dd1-addf-11d39e21f83e,,False
bookmaker,fd1b73e2-0eed-42df-bbb1-3de38eead012,,False
